lastName,fullName,position,term,signAge,contractLength,totalValue,aav,signBonus,isEntryLevel
Anthony,Carmelo Anthony,Power Forward,2014-2018 (FA: 2019),30,5,"$124,064,681","$24,812,936",$0,0
Bosh,Chris Bosh,Power Forward,2014-2018 (FA: 2019),29,5,"$118,705,300","$23,741,060",$0,0
George,Paul George,Shooting Guard,2014-2018 (FA: 2018),23,5,"$91,572,660","$18,314,532",$0,0
Wall,John Wall,Point Guard,2014-2018 (FA: 0),22,5,"$84,789,500","$16,957,900",$0,0
Bledsoe,Eric Bledsoe,Point Guard,2014-2018 (FA: 0),24,5,"$70,000,000","$14,000,000",$0,0
Cousins,DeMarcus Cousins,Center,2014-2017 (FA: 2018),23,4,"$65,619,700","$16,404,925",$0,0
Hayward,Gordon Hayward,Small Forward,2014-2017 (FA: 2018),24,4,"$62,965,420","$15,741,355",$0,0
Gortat,Marcin Gortat,Center,2014-2018 (FA: 2019),30,5,"$60,000,000","$12,000,000",$0,0
Bryant,Kobe Bryant,Small Forward,2014-2015 (FA: 2016),35,2,"$48,500,000","$24,250,000",$0,0
Lowry,Kyle Lowry,Point Guard,2014-2017 (FA: 2018),28,4,"$48,000,000","$12,000,000",$0,0
Favors,Derrick Favors,Center,2014-2017 (FA: 2018),22,4,"$46,950,000","$11,737,500",$0,0
Parsons,Chandler Parsons,Small Forward,2014-2016 (FA: 2017),25,3,"$46,084,500","$15,361,500",$0,0
Sanders,Larry Sanders,Center,2014-2017 (FA: 2018),24,4,"$44,000,000","$11,000,000",$0,0
James,LeBron James,Small Forward,2014-2014 (FA: 2015),29,2,"$42,217,798","$21,108,899",$0,0
Bogut,Andrew Bogut,Center,2014-2016 (FA: 2017),28,3,"$36,000,000","$12,000,000",$0,0
Van Gundy,Stan Van Gundy,Coach,2014-2018 (FA: 0),54,5,"$35,000,000","$7,000,000",$0,0
Ariza,Trevor Ariza,Small Forward,2014-2017 (FA: 2018),29,4,"$32,000,002","$8,000,001",$0,0
Frye,Channing Frye,Power Forward,2014-2017 (FA: 2018),31,4,"$32,000,000","$8,000,000",$0,0
Bradley,Avery Bradley,Point Guard,2014-2017 (FA: 2018),23,4,"$32,000,000","$8,000,000",$0,0
Wade,Dwyane Wade,Shooting Guard,2014-2015 (FA: 2016),32,2,"$31,125,000","$15,562,500",$0,0
Diaw,Boris Diaw,Center,2014-2017 (FA: 2018),32,4,"$28,000,000","$7,000,000",$0,0
Thomas,Isaiah Thomas,Point Guard,2014-2017 (FA: 2018),25,4,"$27,000,002","$6,750,001",$0,0
