fullName,term,signAge,contractLength,totalValue,aav,isEntryLevel,signSeason,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Andrew Wiggins,2014-2017,18.0,4,24850243.0,6212561.0,1,2013-14,79,197,1995-02-23,1,1,2014,False
Jabari Parker,2014-2016,18.0,3,22239712.0,7413237.0,1,2013-14,80,245,1995-03-15,1,2,2014,False
Joel Embiid,2014-2017,19.0,4,19981026.0,4995257.0,1,2013-14,84,280,1994-03-16,1,3,2014,False
Aaron Gordon,2014-2017,18.0,4,18019460.0,4504865.0,1,2013-14,80,235,1995-09-16,1,4,2014,False
Dante Exum,2014-2017,18.0,4,16325425.0,4081356.0,1,2013-14,77,214,1995-07-13,1,5,2014,False
Marcus Smart,2014-2017,19.0,4,14831260.0,3707815.0,1,2013-14,75,220,1994-03-06,1,6,2014,False
Julius Randle,2014-2017,19.0,4,13545962.0,3386491.0,1,2013-14,80,250,1994-11-29,1,7,2014,False
Nik Stauskas,2014-2017,20.0,4,12415467.0,3103867.0,1,2013-14,78,205,1993-10-07,1,8,2014,False
Noah Vonleh,2014-2017,18.0,4,11418513.0,2854628.0,1,2013-14,82,257,1995-08-24,1,9,2014,False
Elfrid Payton,2014-2017,19.0,4,10849500.0,2712375.0,1,2013-14,75,195,1994-02-22,1,10,2014,False
Doug McDermott,2014-2017,21.0,4,10436434.0,2609109.0,1,2013-14,79,225,1992-01-03,1,11,2014,False
Zach LaVine,2014-2017,18.0,4,9647298.0,2411825.0,1,2013-14,77,200,1995-03-10,1,13,2014,False
Kostas Papanikolaou,2014-2014,23.0,2,9595328.0,4797664.0,1,2013-14,80,225,1990-07-31,2,48,2012,False
T.J. Warren,2014-2017,20.0,4,9276051.0,2319013.0,1,2013-14,80,220,1993-09-05,1,14,2014,False
Lucas Nogueira,2014-2017,21.0,4,8473305.0,2118326.0,1,2013-14,84,241,1992-07-26,1,16,2013,False
Gary Harris,2014-2017,19.0,4,7312615.0,1828154.0,1,2013-14,76,210,1994-09-14,1,19,2014,False
Bruno Caboclo,2014-2017,18.0,4,7023225.0,1755806.0,1,2013-14,81,218,1995-09-21,1,20,2014,False
Rodney Hood,2014-2017,21.0,4,6432184.0,1608046.0,1,2013-14,80,208,1992-10-20,1,23,2014,False
Shabazz Napier,2014-2016,22.0,4,6244560.0,1561140.0,1,2013-14,72,175,1991-07-14,1,24,2014,False
Clint Capela,2014-2017,19.0,4,6062688.0,1515672.0,1,2013-14,82,240,1994-05-18,1,25,2014,False
Adreian Payne,2014-2016,22.0,3,5816400.0,1938800.0,1,2013-14,82,237,1991-02-19,1,15,2014,False
James Young,2014-2016,18.0,3,5249520.0,1749840.0,1,2013-14,78,215,1995-08-16,1,17,2014,False
Joffrey Lauvergne,2014-2016,23.0,3,5209719.0,1736573.0,1,2013-14,83,220,1991-09-30,2,55,2013,False
Tyler Ennis,2014-2016,19.0,3,4986960.0,1662320.0,1,2013-14,75,194,1994-08-24,1,18,2014,False
Mitch McGary,2014-2016,21.0,3,4389120.0,1463040.0,1,2013-14,82,255,1992-06-06,1,21,2014,False
Jerami Grant,2014-2016,19.0,4,4234674.0,1058669.0,1,2013-14,80,210,1994-03-12,2,39,2014,False
Jordan Adams,2014-2016,19.0,3,4213800.0,1404600.0,1,2013-14,77,209,1994-07-08,1,22,2014,False
C.J. Wilcox,2014-2016,23.0,3,3479040.0,1159680.0,1,2013-14,77,195,1990-12-30,1,28,2014,False
Kyle Anderson,2014-2016,20.0,3,3428640.0,1142880.0,1,2013-14,81,230,1993-09-20,1,30,2014,False
Joe Harris,2014-2016,22.0,3,2710369.0,903456.0,1,2013-14,78,220,1991-09-06,2,33,2014,False
Damien Inglis,2014-2016,19.0,3,2655431.0,885144.0,1,2013-14,80,246,1995-05-20,2,31,2014,False
Jarnell Stokes,2014-2016,20.0,3,2550490.0,850163.0,1,2013-14,81,263,1994-01-07,2,35,2014,False
Spencer Dinwiddie,2014-2016,21.0,3,2525490.0,841830.0,1,2013-14,77,215,1993-04-06,2,38,2014,False
Johnny O'Bryant,2014-2016,21.0,3,2425490.0,808497.0,1,2013-14,81,257,1993-06-01,2,36,2014,False
P.J. Hairston,2014-2015,21.0,2,2351160.0,1175580.0,1,2013-14,78,230,1992-12-24,1,26,2014,False
Drew Gordon,2014-2016,24.0,3,2332836.0,777612.0,1,2013-14,81,245,1990-07-12,0,0,0,True
Nick Johnson,2014-2016,21.0,3,2332826.0,777609.0,1,2013-14,75,202,1992-12-22,2,42,2014,False
Russ Smith,2014-2016,23.0,3,2332826.0,777609.0,1,2013-14,72,165,1991-04-19,2,47,2014,False
Cameron Bairstow,2014-2016,23.0,3,2332826.0,777609.0,1,2013-14,81,250,1990-12-07,2,49,2014,False
Eric Moreland,2014-2016,22.0,3,2332826.0,777609.0,1,2013-14,82,238,1991-12-24,0,0,0,True
Jack Cooley,2014-2016,23.0,3,2332826.0,777609.0,1,2013-14,81,260,1991-04-12,0,0,0,True
Jack Cooley,2014-2016,23.0,3,1888161.0,629387.0,1,2013-14,81,260,1991-04-12,0,0,0,True
JaKarr Sampson,2014-2016,21.0,3,2332826.0,777609.0,1,2013-14,79,214,1993-03-20,0,0,0,True
Cleanthony Early,2014-2015,23.0,2,1352395.0,676198.0,1,2013-14,80,210,1991-04-17,2,34,2014,False
Markel Brown,2014-2015,22.0,2,1352395.0,676198.0,1,2013-14,75,190,1992-01-29,2,44,2014,False
Dwight Powell,2014-2015,23.0,2,1352395.0,676198.0,1,2013-14,82,240,1991-07-20,2,45,2014,False
