name,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Jeff Adrien,6-7,245lb,1986-02-10,-1,-1,-1,True
Arron Afflalo,6-5,210lb,1985-10-15,1st,27th,2007,False
Blake Ahearn,6-2,190lb,1984-05-27,-1,-1,-1,True
Solomon Alabi,7-1,251lb,1988-03-21,2nd,50th,2010,False
Cole Aldrich,6-11,250lb,1988-10-31,1st,11th,2010,False
LaMarcus Aldridge,6-11,250lb,1985-07-19,1st,2nd,2006,False
Lavoy Allen,6-9,260lb,1989-02-04,2nd,50th,2011,False
Ray Allen,6-5,205lb,1975-07-20,1st,5th,1996,False
Tony Allen,6-4,213lb,1982-01-11,1st,25th,2004,False
Morris Almond,6-6,225lb,1985-02-02,1st,25th,2007,False
Al-Farouq Aminu,6-8,220lb,1990-09-21,1st,8th,2010,False
Lou Amundson,6-9,220lb,1982-12-07,-1,-1,-1,True
Chris Andersen,6-10,245lb,1978-07-07,-1,-1,-1,True
Alan Anderson,6-6,220lb,1982-10-16,-1,-1,-1,True
James Anderson,6-6,213lb,1989-03-25,1st,20th,2010,False
Ryan Anderson,6-9,240lb,1988-05-06,1st,21st,2008,False
Carmelo Anthony,6-7,238lb,1984-05-29,1st,3rd,2003,False
Joel Anthony,6-9,245lb,1982-08-09,-1,-1,-1,True
Gilbert Arenas,6-4,191lb,1982-01-06,2nd,31st,2001,False
Trevor Ariza,6-8,215lb,1985-06-30,2nd,43rd,2004,False
Ömer Aşık,7-0,255lb,1986-07-04,2nd,36th,2008,False
D.J. Augustin,5-11,183lb,1987-11-10,1st,9th,2008,False
Gustavo Ayón,6-10,250lb,1985-04-01,-1,-1,-1,True
Jeff Ayres,6-9,240lb,1987-04-29,2nd,31st,2009,False
Kelenna Azubuike,6-5,220lb,1983-12-16,-1,-1,-1,True
Luke Babbitt,6-9,225lb,1989-06-20,1st,16th,2010,False
Renaldo Balkman,6-8,208lb,1984-07-14,1st,20th,2006,False
Leandro Barbosa,6-3,194lb,1982-11-28,1st,28th,2003,False
J.J. Barea,5-10,180lb,1984-06-26,-1,-1,-1,True
Andrea Bargnani,7-0,245lb,1985-10-26,1st,1st,2006,False
Matt Barnes,6-7,226lb,1980-03-09,2nd,46th,2002,False
Earl Barron,7-0,250lb,1981-08-14,-1,-1,-1,True
Brandon Bass,6-8,250lb,1985-04-30,2nd,33rd,2005,False
Tony Battie,6-11,230lb,1976-02-11,1st,5th,1997,False
Shane Battier,6-8,220lb,1978-09-09,1st,6th,2001,False
Nicolas Batum,6-8,230lb,1988-12-14,1st,25th,2008,False
Jerryd Bayless,6-3,200lb,1988-08-20,1st,11th,2008,False
Michael Beasley,6-9,235lb,1989-01-09,1st,2nd,2008,False
Rodrigue Beaubois,6-0,170lb,1988-02-24,1st,25th,2009,False
Marco Belinelli,6-5,220lb,1986-03-25,1st,18th,2007,False
Raja Bell,6-5,204lb,1976-09-19,-1,-1,-1,True
